transaction_id,bank_reference,transaction_date,amount,currency,transaction_type,customer_reference,status
BTX_0023,BNKREF_41385,2024-09-29,18467.55,INR,payment,CUS_0079,completed
BTX_0024,BNKREF_79822,2024-08-06,36729.43,INR,payment,CUS_0018,completed
BTX_0025,BNKREF_79163,2024-09-30,27715.28,INR,payment,CUS_0068,completed
BTX_0026,BNKREF_50857,2024-09-29,27195.16,INR,payment,CUS_0052,completed
BTX_0027,BNKREF_25860,2024-08-29,45030.9,INR,payment,CUS_0116,completed
BTX_0028,BNKREF_10942,2024-09-07,27919.12,INR,payment,CUS_0057,completed
BTX_0029,BNKREF_19287,2024-08-05,45318.29,INR,payment,CUS_0085,completed
BTX_0030,BNKREF_85525,2024-08-14,27192.08,INR,payment,CUS_0147,completed
BTX_0031,BNKREF_56438,2024-08-13,5169.13,INR,payment,CUS_0111,completed
BTX_0032,BNKREF_17944,2024-08-04,33831.55,INR,payment,CUS_0026,completed
BTX_0033,BNKREF_80292,2024-08-07,12808.49,INR,payment,CUS_0049,completed
BTX_0034,BNKREF_68082,2024-08-30,12865.42,INR,payment,CUS_0020,completed
BTX_0035,BNKREF_22224,2024-09-11,49964.48,INR,payment,CUS_0004,completed
BTX_0036,BNKREF_17685,2024-09-01,24327.24,INR,payment,CUS_0103,completed
BTX_0037,BNKREF_47388,2024-08-17,46362.64,INR,payment,CUS_0117,completed
BTX_0038,BNKREF_30289,2024-09-05,33262.63,INR,payment,CUS_0125,completed
BTX_0039,BNKREF_51104,2024-09-07,36918.99,INR,payment,CUS_0016,completed
BTX_0040,BNKREF_17455,2024-09-28,42709.63,INR,payment,CUS_0041,completed
BTX_0041,BNKREF_62923,2024-08-05,29954.24,INR,payment,CUS_0061,completed
BTX_0042,BNKREF_64948,2024-09-08,2467.21,INR,payment,CUS_0021,completed
BTX_0043,BNKREF_41285,2024-09-29,13407.9,INR,payment,CUS_0081,completed
BTX_0044,BNKREF_11220,2024-08-20,23132.62,INR,payment,CUS_0019,completed
BTX_0045,BNKREF_44760,2024-08-05,27112.9,INR,payment,CUS_0130,completed
BTX_0046,BNKREF_30676,2024-09-26,12592.08,INR,payment,CUS_0073,completed
BTX_0047,BNKREF_11025,2024-09-09,49200.74,INR,payment,CUS_0136,completed
BTX_0048,BNKREF_44664,2024-09-12,5627.53,INR,payment,CUS_0035,completed
BTX_0049,BNKREF_54942,2024-08-10,13981.24,INR,payment,CUS_0054,completed
BTX_0050,BNKREF_22097,2024-09-02,24682.33,INR,payment,CUS_0014,completed
BTX_0051,BNKREF_31178,2024-08-22,38670.4,INR,payment,CUS_0068,completed
BTX_0052,BNKREF_29536,2024-09-05,978.65,INR,payment,CUS_0020,completed
BTX_0053,BNKREF_50404,2024-08-10,21774.44,INR,payment,CUS_0011,completed
BTX_0054,BNKREF_56357,2024-08-14,34262.3,INR,payment,CUS_0027,completed
BTX_0055,BNKREF_31299,2024-09-17,8150.39,INR,payment,CUS_0061,completed
BTX_0056,BNKREF_63964,2024-08-02,9378.35,INR,payment,CUS_0086,completed
BTX_0057,BNKREF_60140,2024-08-18,8380.29,INR,payment,CUS_0028,completed
BTX_0058,BNKREF_50001,2024-09-22,45963.37,INR,payment,CUS_0090,completed
BTX_0059,BNKREF_46517,2024-09-12,10059.92,INR,payment,CUS_0085,completed
BTX_0060,BNKREF_53404,2024-09-02,20284.08,INR,payment,CUS_0138,completed
BTX_0061,BNKREF_15014,2024-08-17,9339.11,INR,payment,CUS_0068,completed
BTX_0062,BNKREF_25157,2024-09-20,16027.03,INR,payment,CUS_0131,completed
BTX_0063,BNKREF_78146,2024-08-03,35584.87,INR,payment,CUS_0001,completed
BTX_0064,BNKREF_57739,2024-09-30,37226.53,INR,payment,CUS_0051,completed
BTX_0065,BNKREF_49363,2024-09-09,16038.82,INR,payment,CUS_0032,completed
BTX_0066,BNKREF_26683,2024-08-26,35011.82,INR,payment,CUS_0142,completed
BTX_0067,BNKREF_90676,2024-09-13,37532.66,INR,payment,CUS_0045,completed
BTX_0068,BNKREF_66346,2024-08-01,15541.81,INR,payment,CUS_0054,completed
BTX_0069,BNKREF_77000,2024-08-30,22368.41,INR,payment,CUS_0055,completed
BTX_0070,BNKREF_22240,2024-08-06,14547.43,INR,payment,CUS_0086,completed
BTX_0071,BNKREF_13201,2024-08-15,40424.86,USD,payment,CUS_0038,completed
BTX_0072,BNKREF_35485,2024-08-30,21014.83,INR,payment,CUS_0148,completed
BTX_0073,BNKREF_65724,2024-09-11,34537.31,INR,payment,CUS_0028,completed
BTX_0074,BNKREF_69829,2024-08-16,45914.77,INR,payment,CUS_0032,completed
BTX_0075,BNKREF_90301,2024-09-08,16206.25,INR,payment,CUS_0114,completed
BTX_0076,BNKREF_68991,2024-08-29,44911.8,INR,payment,CUS_0122,completed
BTX_0077,BNKREF_45992,2024-09-19,26304.34,INR,payment,CUS_0062,completed
BTX_0078,BNKREF_28136,2024-08-21,44704.83,INR,payment,CUS_0021,completed
BTX_0079,BNKREF_81121,2024-08-05,21035.96,INR,payment,CUS_0085,completed
BTX_0080,BNKREF_12560,2024-08-25,45289.5,INR,payment,CUS_0150,completed
BTX_0081,BNKREF_64921,2024-09-30,17912.06,INR,payment,CUS_0100,completed
BTX_0082,BNKREF_45774,2024-09-27,11416.67,INR,payment,CUS_0057,completed
BTX_0083,BNKREF_71261,2024-09-13,40008.05,INR,payment,CUS_0043,completed
BTX_0084,BNKREF_21003,2024-09-07,28437.4,INR,payment,CUS_0007,completed
BTX_0085,BNKREF_52906,2024-08-12,2989.09,INR,payment,CUS_0098,completed
BTX_0086,BNKREF_43065,2024-09-26,19266.75,INR,payment,CUS_0108,completed
BTX_0087,BNKREF_39389,2024-09-04,3078.24,INR,payment,CUS_0090,completed
BTX_0088,BNKREF_12671,2024-08-02,47505.78,INR,payment,CUS_0052,completed
BTX_0089,BNKREF_70952,2024-09-12,6162.28,INR,payment,CUS_0056,completed
BTX_0090,BNKREF_31465,2024-09-08,48204.87,INR,payment,CUS_0030,completed
BTX_0091,BNKREF_61990,2024-09-29,15941.88,INR,payment,CUS_0097,completed
BTX_0092,BNKREF_23356,2024-09-14,41613.3,INR,payment,CUS_0063,completed
BTX_0093,BNKREF_15383,2024-09-08,40373.63,INR,payment,CUS_0145,completed
BTX_0094,BNKREF_11658,2024-08-05,25545.06,INR,payment,CUS_0088,completed
BTX_0095,BNKREF_30052,2024-08-24,31961.46,INR,payment,CUS_0118,completed
BTX_0096,BNKREF_73372,2024-09-11,13869.08,INR,payment,CUS_0138,completed
BTX_0097,BNKREF_46559,2024-08-21,42659.8,INR,payment,CUS_0023,completed
BTX_0098,BNKREF_54092,2024-09-06,30711.42,USD,payment,CUS_0098,completed
BTX_0099,BNKREF_88139,2024-09-21,13288.44,INR,payment,CUS_0072,completed
BTX_0100,BNKREF_74038,2024-08-13,4737.84,INR,payment,CUS_0105,completed
